species,latin_species,family,variety,origin_canada,edible
Shumard oak,Quercus shumardii,oak,Deciduous,Native,Edible
Siberian alder,Alnus viridis ssp. fruticosa,alder,Deciduous,Native,Inedible
Siberian crab apple,Malus baccata,crab,Deciduous,Introduced,Edible
Siberian elm,Ulmus pumila,elm,Deciduous,Naturalized,Inedible
Siberian larch,Larix sibirica,larch,Conifer,Introduced,Inedible
Siberian pea tree,Caragana arborescens,pea,Deciduous,Introduced,Edible
Sierra redwood,Sequoiadendron giganteum,redwood,Conifer,Introduced,Inedible
Silver buffalo berry,Shepherdia argentea,buffalo,Deciduous,Native,Edible
Silver maple,Acer saccharinum,maple,Deciduous,Native,Inedible
Silverberry,Elaeagnus commutata,Silverberry,Deciduous,Native,Edible
Simon poplar,Populus simonii,poplar,Deciduous,Introduced,Inedible
Sitka alder,Alnus viridis ssp. sinuata,alder,Deciduous,Native,Inedible
Sitka mountain ash,Sorbus sitchensis,mountain,Deciduous,Native,Inedible
Sitka spruce,Picea sitchensis,spruce,Conifer,Native,Inedible
Sitka willow,Salix sitchensis,willow,Deciduous,Native,Inedible
Slippery elm,Ulmus rubra,elm,Deciduous,Native,Inedible
Smooth serviceberry,Amelanchier laevis,serviceberry,Deciduous,Native,Edible
Smooth sumac,Rhus glabra,sumac,Deciduous,Native,Inedible
Sour cherry,Prunus cerasus,cherry,Deciduous,Naturalized,Edible
Southern catalpa,Catalpa bignonioides,catalpa,Deciduous,Introduced,Edible
Spanish fir,Abies pinsapo,fir,Conifer,Introduced,Inedible
Speckled alder,Alnus incana ssp. rugosa,alder,Deciduous,Native,Inedible
Squashberry viburnum,Viburnum edule,viburnum,Deciduous,Native,Edible
Staghorn sumac,Rhus typhina,sumac,Deciduous,Native,Edible
Striped maple,Acer pensylvanicum,maple,Deciduous,Native,Inedible
Subalpine fir,Abies lasiocarpa,fir,Conifer,Native,Inedible
Subalpine larch,Larix lyallii,larch,Conifer,Native,Inedible
Sugar maple,Acer saccharum,maple,Deciduous,Native,Inedible
Swamp white oak,Quercus bicolor,oak,Deciduous,Native,Edible
Sweet cherry,Prunus avium,cherry,Deciduous,Naturalized,Edible
Sweet viburnum,Viburnum lentago,viburnum,Deciduous,Native,Edible
Sweetgum,Liquidambar styraciflua,Sweetgum,Deciduous,Introduced,Inedible
Sycamore,Platanus occidentalis,Sycamore,Deciduous,Native,Inedible
Sycamore maple,Acer pseudoplatanus,maple,Deciduous,Introduced,Inedible
Tamarack,Larix laricina,Tamarack,Conifer,Native,Inedible
Trembling aspen,Populus tremuloides,aspen,Deciduous,Native,Inedible
Tulip tree,Liriodendron tulipifera,tree,Deciduous,Native,Inedible
Turkish hazel,Corylus colurna,hazel,Deciduous,Introduced,Edible
Umbrella pine,Sciadopitys verticillata,Umbrella,Conifer,Introduced,Inedible
Vine maple,Acer circinatum,maple,Deciduous,Native,Inedible
Violet willow,Salix daphnoides,willow,Deciduous,Introduced,Inedible
Washington hawthorn,Crataegus phaenopyrum,hawthorn,Deciduous,Introduced,Edible
Water birch,Betula occidentalis,birch,Deciduous,Native,Inedible
Wayfaring viburnum,Viburnum lantana,viburnum,Deciduous,Naturalized,Inedible
Western choke cherry,Prunus virginiana var. demissa,choke,Deciduous,Native,Edible
Western flowering dogwood,Cornus nuttallii,dogwood,Deciduous,Native,Inedible
Western hemlock,Tsuga heterophylla,hemlock,Conifer,Native,Inedible
Western larch,Larix occidentalis,larch,Conifer,Native,Inedible
Western redcedar,Thuja plicata,redcedar,Conifer,Native,Inedible
Western white pine,Pinus monticola,pine,Conifer,Native,Inedible
